Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
2058,MICRO,X25,2017,1500,Automatic,Petrol,88000,Ja-Ela,12/24/2024,No Leasing,USED,Available,Available,Not_Available,Not_Available,54.5
2059,MINI,COOPER,1988,1300,Automatic,Petrol,407000,Maharagama,2/5/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,31.5
2060,MINI,COOPER,1994,-1300,Automatic,Petrol,341000,Mawanella,2/5/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,29.75
2061,MINI,COOPER,1967,-1000,Manual,Petrol,638000,Nugegoda,2/3/2025,No Leasing,USED,Available,Available,Available,Available,16.9
2062,MINI,COOPER,1990,1300,Automatic,Petrol,385000,Matara,2/3/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,35
2063,MINI,COOPER,1994,1300,Automatic,Petrol,341000,Kegalle,2/3/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,29.75
2064,MINI,COOPER,1965,1300,Automatic,Petrol,660000,Kalutara,2/3/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,21.75
2065,MINI,COOPER,1960,1300,Manual,Petrol,715000,Kelaniya,1/29/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,15.5
2066,MINI,COOPER,1961,1300,Manual,Petrol,704000,Gampaha,1/10/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,18.75
2067,MINI,COOPER,1999,1300,Manual,Petrol,286000,Dehiwala-Mount-Lavinia,1/6/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,28.5
2068,MINI,COOPER,1960,1300,Manual,Petrol,715000,Kotte,1/26/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,26
2069,MINI,COOPER,1960,1300,Automatic,Petrol,715000,Matale,1/26/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,19.25
2070,MINI,COOPER,1970,1300,Manual,Petrol,605000,Negombo,1/26/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,19.5
2071,MINI,COOPER,1998,1275,Manual,Petrol,297000,Nugegoda,1/19/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,26.5
2072,MINI,COOPER,1960,1275,Manual,Petrol,715000,Kandy,1/5/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,45.7625
2073,MINI,COOPER,1961,1300,Manual,Petrol,704000,Gampaha,12/24/2024,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,18.75
2074,MINI,COOPER,1994,1300,Automatic,,341000,Mawanella,12/24/2024,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,29.75
